# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.742
 8.8571      0.026         12.384
 8.7857      0.032         15.981
 8.7143      0.038         19.528
 8.6429      0.045         23.013
 8.5714      0.051         26.425
 8.5000      0.057         29.747
 8.4286      0.063         32.954
 8.3571      0.069         36.010
 8.2857      0.075         38.856
 8.2143      0.082         41.390
 8.1429      0.088         43.392
 8.0714      0.094         44.241
 8.0000      0.100         36.717
