# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.533
 8.8571      0.026          8.740
 8.7857      0.032          9.925
 8.7143      0.038         11.085
 8.6429      0.045         12.217
 8.5714      0.051         13.313
 8.5000      0.057         14.367
 8.4286      0.063         15.369
 8.3571      0.069         16.303
 8.2857      0.075         17.148
 8.2143      0.082         17.866
 8.1429      0.088         18.385
 8.0714      0.094         18.541
 8.0000      0.100         17.714
