# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.692
 8.8571      0.026         10.698
 8.7857      0.032         13.663
 8.7143      0.038         16.583
 8.6429      0.045         19.448
 8.5714      0.051         22.248
 8.5000      0.057         24.968
 8.4286      0.063         27.586
 8.3571      0.069         30.071
 8.2857      0.075         32.373
 8.2143      0.082         34.401
 8.1429      0.088         35.972
 8.0714      0.094         36.567
 8.0000      0.100         31.204
