# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.590
 8.8571      0.026          9.082
 8.7857      0.032         10.550
 8.7143      0.038         11.988
 8.6429      0.045         13.392
 8.5714      0.051         14.755
 8.5000      0.057         16.069
 8.4286      0.063         17.320
 8.3571      0.069         18.492
 8.2857      0.075         19.555
 8.2143      0.082         20.463
 8.1429      0.088         21.122
 8.0714      0.094         21.304
 8.0000      0.100         19.954
