# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.053
 8.8571      0.026         10.760
 8.7857      0.032         13.430
 8.7143      0.038         16.056
 8.6429      0.045         18.632
 8.5714      0.051         21.145
 8.5000      0.057         23.583
 8.4286      0.063         25.926
 8.3571      0.069         28.143
 8.2857      0.075         30.189
 8.2143      0.082         31.980
 8.1429      0.088         33.345
 8.0714      0.094         33.813
 8.0000      0.100         29.428
