# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.553
 8.8571      0.026          8.739
 8.7857      0.032          9.904
 8.7143      0.038         11.044
 8.6429      0.045         12.155
 8.5714      0.051         13.232
 8.5000      0.057         14.268
 8.4286      0.063         15.251
 8.3571      0.069         16.169
 8.2857      0.075         16.998
 8.2143      0.082         17.702
 8.1429      0.088         18.211
 8.0714      0.094         18.365
 8.0000      0.100         17.575
