# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.004
 8.8571      0.026         10.588
 8.7857      0.032         13.136
 8.7143      0.038         15.642
 8.6429      0.045         18.099
 8.5714      0.051         20.495
 8.5000      0.057         22.819
 8.4286      0.063         25.050
 8.3571      0.069         27.161
 8.2857      0.075         29.105
 8.2143      0.082         30.804
 8.1429      0.088         32.093
 8.0714      0.094         32.521
 8.0000      0.100         28.474
