# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.855
 8.8571      0.026          9.339
 8.7857      0.032         10.798
 8.7143      0.038         12.228
 8.6429      0.045         13.624
 8.5714      0.051         14.980
 8.5000      0.057         16.287
 8.4286      0.063         17.532
 8.3571      0.069         18.698
 8.2857      0.075         19.756
 8.2143      0.082         20.659
 8.1429      0.088         21.312
 8.0714      0.094         21.485
 8.0000      0.100         20.101
