# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.083
 8.8571      0.026         10.796
 8.7857      0.032         13.472
 8.7143      0.038         16.104
 8.6429      0.045         18.685
 8.5714      0.051         21.204
 8.5000      0.057         23.648
 8.4286      0.063         25.995
 8.3571      0.069         28.218
 8.2857      0.075         30.268
 8.2143      0.082         32.062
 8.1429      0.088         33.430
 8.0714      0.094         33.899
 8.0000      0.100         29.504
