# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.188
 8.8571      0.026         12.719
 8.7857      0.032         15.213
 8.7143      0.038         17.665
 8.6429      0.045         20.065
 8.5714      0.051         22.405
 8.5000      0.057         24.670
 8.4286      0.063         26.841
 8.3571      0.069         28.888
 8.2857      0.075         30.765
 8.2143      0.082         32.392
 8.1429      0.088         33.603
 8.0714      0.094         33.951
 8.0000      0.100         30.336
