# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          5.653
 8.8571      0.026          7.523
 8.7857      0.032          9.367
 8.7143      0.038         11.180
 8.6429      0.045         12.958
 8.5714      0.051         14.693
 8.5000      0.057         16.376
 8.4286      0.063         17.992
 8.3571      0.069         19.521
 8.2857      0.075         20.930
 8.2143      0.082         22.163
 8.1429      0.088         23.100
 8.0714      0.094         23.416
 8.0000      0.100         20.449
