# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.203
 8.8571      0.026         11.379
 8.7857      0.032         14.515
 8.7143      0.038         17.602
 8.6429      0.045         20.632
 8.5714      0.051         23.594
 8.5000      0.057         26.472
 8.4286      0.063         29.244
 8.3571      0.069         31.875
 8.2857      0.075         34.315
 8.2143      0.082         36.467
 8.1429      0.088         38.137
 8.0714      0.094         38.776
 8.0000      0.100         32.982
