# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.735
 8.8571      0.026          9.603
 8.7857      0.032         11.442
 8.7143      0.038         13.246
 8.6429      0.045         15.008
 8.5714      0.051         16.722
 8.5000      0.057         18.376
 8.4286      0.063         19.956
 8.3571      0.069         21.438
 8.2857      0.075         22.790
 8.2143      0.082         23.950
 8.1429      0.088         24.803
 8.0714      0.094         25.047
 8.0000      0.100         23.078
