# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.893
 8.8571      0.026          9.702
 8.7857      0.032         11.483
 8.7143      0.038         13.230
 8.6429      0.045         14.939
 8.5714      0.051         16.601
 8.5000      0.057         18.207
 8.4286      0.063         19.740
 8.3571      0.069         21.181
 8.2857      0.075         22.495
 8.2143      0.082         23.625
 8.1429      0.088         24.453
 8.0714      0.094         24.679
 8.0000      0.100         22.606
