# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.682
 8.8571      0.026          9.503
 8.7857      0.032         11.296
 8.7143      0.038         13.055
 8.6429      0.045         14.776
 8.5714      0.051         16.449
 8.5000      0.057         18.066
 8.4286      0.063         19.611
 8.3571      0.069         21.063
 8.2857      0.075         22.388
 8.2143      0.082         23.527
 8.1429      0.088         24.365
 8.0714      0.094         24.597
 8.0000      0.100         22.489
