# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.862
 8.8571      0.026          9.798
 8.7857      0.032         11.705
 8.7143      0.038         13.578
 8.6429      0.045         15.412
 8.5714      0.051         17.198
 8.5000      0.057         18.926
 8.4286      0.063         20.581
 8.3571      0.069         22.141
 8.2857      0.075         23.569
 8.2143      0.082         24.803
 8.1429      0.088         25.719
 8.0714      0.094         25.977
 8.0000      0.100         23.356
