# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.106
 8.8571      0.026         11.179
 8.7857      0.032         14.213
 8.7143      0.038         17.199
 8.6429      0.045         20.130
 8.5714      0.051         22.994
 8.5000      0.057         25.776
 8.4286      0.063         28.454
 8.3571      0.069         30.997
 8.2857      0.075         33.351
 8.2143      0.082         35.426
 8.1429      0.088         37.032
 8.0714      0.094         37.637
 8.0000      0.100         32.125
