# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.256
 8.8571      0.026         10.580
 8.7857      0.032         12.870
 8.7143      0.038         15.120
 8.6429      0.045         17.324
 8.5714      0.051         19.472
 8.5000      0.057         21.551
 8.4286      0.063         23.544
 8.3571      0.069         25.423
 8.2857      0.075         27.148
 8.2143      0.082         28.645
 8.1429      0.088         29.764
 8.0714      0.094         30.104
 8.0000      0.100         26.847
