# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.215
 8.8571      0.026         14.314
 8.7857      0.032         17.377
 8.7143      0.038         20.397
 8.6429      0.045         23.367
 8.5714      0.051         26.276
 8.5000      0.057         29.110
 8.4286      0.063         31.848
 8.3571      0.069         34.458
 8.2857      0.075         36.891
 8.2143      0.082         39.055
 8.1429      0.088         40.759
 8.0714      0.094         41.450
 8.0000      0.100         34.712
