# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.261
 8.8571      0.026          9.984
 8.7857      0.032         12.669
 8.7143      0.038         15.310
 8.6429      0.045         17.901
 8.5714      0.051         20.430
 8.5000      0.057         22.883
 8.4286      0.063         25.242
 8.3571      0.069         27.476
 8.2857      0.075         29.539
 8.2143      0.082         31.349
 8.1429      0.088         32.736
 8.0714      0.094         33.233
 8.0000      0.100         28.772
