# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.203
 8.8571      0.026         11.581
 8.7857      0.032         14.916
 8.7143      0.038         18.200
 8.6429      0.045         21.425
 8.5714      0.051         24.578
 8.5000      0.057         27.644
 8.4286      0.063         30.598
 8.3571      0.069         33.405
 8.2857      0.075         36.011
 8.2143      0.082         38.315
 8.1429      0.088         40.114
 8.0714      0.094         40.826
 8.0000      0.100         34.482
