# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.176
 8.8571      0.026         11.531
 8.7857      0.032         14.844
 8.7143      0.038         18.106
 8.6429      0.045         21.309
 8.5714      0.051         24.441
 8.5000      0.057         27.485
 8.4286      0.063         30.418
 8.3571      0.069         33.206
 8.2857      0.075         35.793
 8.2143      0.082         38.082
 8.1429      0.088         39.866
 8.0714      0.094         40.572
 8.0000      0.100         34.283
