# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.508
 8.8571      0.026         12.540
 8.7857      0.032         16.523
 8.7143      0.038         20.450
 8.6429      0.045         24.310
 8.5714      0.051         28.089
 8.5000      0.057         31.769
 8.4286      0.063         35.323
 8.3571      0.069         38.711
 8.2857      0.075         41.870
 8.2143      0.082         44.687
 8.1429      0.088         46.923
 8.0714      0.094         47.903
 8.0000      0.100         39.507
