# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.302
 8.8571      0.026         11.806
 8.7857      0.032         15.264
 8.7143      0.038         18.671
 8.6429      0.045         22.017
 8.5714      0.051         25.288
 8.5000      0.057         28.469
 8.4286      0.063         31.534
 8.3571      0.069         34.448
 8.2857      0.075         37.154
 8.2143      0.082         39.549
 8.1429      0.088         41.422
 8.0714      0.094         42.172
 8.0000      0.100         35.539
