# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.311
 8.8571      0.026         11.536
 8.7857      0.032         14.718
 8.7143      0.038         17.849
 8.6429      0.045         20.920
 8.5714      0.051         23.920
 8.5000      0.057         26.831
 8.4286      0.063         29.630
 8.3571      0.069         32.284
 8.2857      0.075         34.737
 8.2143      0.082         36.893
 8.1429      0.088         38.553
 8.0714      0.094         39.161
 8.0000      0.100         33.727
