# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.121
 8.8571      0.026         10.973
 8.7857      0.032         13.787
 8.7143      0.038         16.556
 8.6429      0.045         19.272
 8.5714      0.051         21.924
 8.5000      0.057         24.498
 8.4286      0.063         26.972
 8.3571      0.069         29.316
 8.2857      0.075         31.482
 8.2143      0.082         33.382
 8.1429      0.088         34.839
 8.0714      0.094         35.355
 8.0000      0.100         30.566
