# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.806
 8.8571      0.026         10.101
 8.7857      0.032         12.364
 8.7143      0.038         14.587
 8.6429      0.045         16.766
 8.5714      0.051         18.890
 8.5000      0.057         20.946
 8.4286      0.063         22.918
 8.3571      0.069         24.780
 8.2857      0.075         26.491
 8.2143      0.082         27.978
 8.1429      0.088         29.095
 8.0714      0.094         29.442
 8.0000      0.100         26.120
