# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.838
 8.8571      0.026          9.947
 8.7857      0.032         12.024
 8.7143      0.038         14.064
 8.6429      0.045         16.062
 8.5714      0.051         18.008
 8.5000      0.057         19.891
 8.4286      0.063         21.694
 8.3571      0.069         23.394
 8.2857      0.075         24.952
 8.2143      0.082         26.300
 8.1429      0.088         27.304
 8.0714      0.094         27.600
 8.0000      0.100         24.761
