# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.793
 8.8571      0.026          9.356
 8.7857      0.032         10.893
 8.7143      0.038         12.401
 8.6429      0.045         13.873
 8.5714      0.051         15.304
 8.5000      0.057         16.684
 8.4286      0.063         18.000
 8.3571      0.069         19.233
 8.2857      0.075         20.354
 8.2143      0.082         21.312
 8.1429      0.088         22.008
 8.0714      0.094         22.192
 8.0000      0.100         20.628
