# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.700
 8.8571      0.026          9.492
 8.7857      0.032         11.256
 8.7143      0.038         12.987
 8.6429      0.045         14.680
 8.5714      0.051         16.326
 8.5000      0.057         17.916
 8.4286      0.063         19.435
 8.3571      0.069         20.862
 8.2857      0.075         22.163
 8.2143      0.082         23.282
 8.1429      0.088         24.103
 8.0714      0.094         24.328
 8.0000      0.100         22.294
