# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.068
 8.8571      0.026         12.230
 8.7857      0.032         16.343
 8.7143      0.038         20.399
 8.6429      0.045         24.387
 8.5714      0.051         28.293
 8.5000      0.057         32.097
 8.4286      0.063         35.774
 8.3571      0.069         39.282
 8.2857      0.075         42.557
 8.2143      0.082         45.484
 8.1429      0.088         47.821
 8.0714      0.094         48.879
 8.0000      0.100         40.003
