# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.873
 8.8571      0.026         10.189
 8.7857      0.032         12.472
 8.7143      0.038         14.717
 8.6429      0.045         16.916
 8.5714      0.051         19.060
 8.5000      0.057         21.137
 8.4286      0.063         23.129
 8.3571      0.069         25.010
 8.2857      0.075         26.739
 8.2143      0.082         28.243
 8.1429      0.088         29.375
 8.0714      0.094         29.729
 8.0000      0.100         26.315
