# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.677
 8.8571      0.026          9.256
 8.7857      0.032         10.809
 8.7143      0.038         12.333
 8.6429      0.045         13.821
 8.5714      0.051         15.268
 8.5000      0.057         16.663
 8.4286      0.063         17.994
 8.3571      0.069         19.242
 8.2857      0.075         20.377
 8.2143      0.082         21.349
 8.1429      0.088         22.055
 8.0714      0.094         22.243
 8.0000      0.100         20.623
