# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.145
 8.8571      0.026         11.199
 8.7857      0.032         14.212
 8.7143      0.038         17.178
 8.6429      0.045         20.089
 8.5714      0.051         22.933
 8.5000      0.057         25.695
 8.4286      0.063         28.353
 8.3571      0.069         30.875
 8.2857      0.075         33.209
 8.2143      0.082         35.263
 8.1429      0.088         36.850
 8.0714      0.094         37.439
 8.0000      0.100         32.059
