# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.932
 8.8571      0.026          9.774
 8.7857      0.032         11.587
 8.7143      0.038         13.366
 8.6429      0.045         15.107
 8.5714      0.051         16.800
 8.5000      0.057         18.435
 8.4286      0.063         19.999
 8.3571      0.069         21.468
 8.2857      0.075         22.808
 8.2143      0.082         23.961
 8.1429      0.088         24.808
 8.0714      0.094         25.039
 8.0000      0.100         22.880
