 lambda   Irr_dw            Rad_up 
 630.512  1.3817969305e+00  3.3672944583e-02 
 631.338  1.3747184912e+00  3.3582662751e-02 
 632.164  1.3711667377e+00  3.3569619603e-02 
 632.991  1.3716103677e+00  3.3671241914e-02 
 633.817  1.3722824455e+00  3.3785702518e-02 
 634.643  1.3704764167e+00  3.3824316754e-02 
 635.470  1.3682492804e+00  3.3833465786e-02 
 636.296  1.3695690897e+00  3.3919183344e-02 
 637.122  1.3745665919e+00  3.4088014250e-02 
 637.948  1.3780010276e+00  3.4208363910e-02 
 638.775  1.3750882927e+00  3.4165615308e-02 
 639.601  1.3671331983e+00  3.3997324226e-02 
 640.427  1.3594519880e+00  3.3826459917e-02 
 641.253  1.3555790499e+00  3.3720958042e-02 
 642.079  1.3553031113e+00  3.3660870876e-02 
 642.905  1.3563859357e+00  3.3582045781e-02 
 643.732  1.3563327058e+00  3.3404050617e-02 
 644.558  1.3538070922e+00  3.3059928866e-02 
 645.384  1.3498322619e+00  3.2558173852e-02 
 646.210  1.3473499893e+00  3.2025150052e-02 
 647.036  1.3476354362e+00  3.1617827858e-02 
 647.862  1.3473521717e+00  3.1387190525e-02 
 648.688  1.3422707844e+00  3.1281977568e-02 
 649.514  1.3345459273e+00  3.1269601843e-02 
 650.340  1.3317576844e+00  3.1366539884e-02 
 651.166  1.3364502286e+00  3.1539675444e-02 
 651.992  1.3423125974e+00  3.1681101648e-02 
 652.818  1.3408303681e+00  3.1649560246e-02 
 653.644  1.3253860051e+00  3.1271107753e-02 
 654.470  1.2932564539e+00  3.0458967147e-02 
 655.296  1.2531009728e+00  2.9464318707e-02 
 656.122  1.2265931257e+00  2.8863526753e-02 
 656.948  1.2305954721e+00  2.9068830227e-02 
 657.774  1.2588942714e+00  2.9898451583e-02 
 658.599  1.2905889270e+00  3.0814498244e-02 
 659.425  1.3123161129e+00  3.1480928870e-02 
 660.251  1.3240357912e+00  3.1894886098e-02 
 661.077  1.3299785682e+00  3.2146840761e-02 
 661.903  1.3317040907e+00  3.2253995101e-02 
 662.728  1.3292028464e+00  3.2212362125e-02 
 663.554  1.3243035890e+00  3.2087764178e-02 
 664.380  1.3202539931e+00  3.1984461161e-02 
 665.206  1.3182678339e+00  3.1942051119e-02 
 666.031  1.3169411408e+00  3.1922674790e-02 
 666.857  1.3155163339e+00  3.1902998085e-02 
 667.683  1.3150303569e+00  3.1904695052e-02 
 668.508  1.3153420878e+00  3.1915202943e-02 
 669.334  1.3141328169e+00  3.1869345382e-02 
1182.792  4.3028557496e-01  6.1928488856e-03 
1188.701  4.2565496583e-01  6.1308212370e-03 
1194.595  4.2922803096e-01  6.3424020596e-03 
1200.475  4.1799985749e-01  6.0678327024e-03 
1206.341  4.1769921403e-01  6.3697618552e-03 
1212.193  4.1301214742e-01  6.2702494126e-03 
1218.030  4.1269092745e-01  6.6692376589e-03 
1223.854  4.0819856888e-01  6.7351274419e-03 
1229.663  4.0461020645e-01  6.9904919164e-03 
1235.458  4.0038879877e-01  7.1031006827e-03 
1241.240  3.9521511570e-01  7.1425670443e-03 
1247.008  3.9163677525e-01  7.0960118811e-03 
1252.762  3.8568704536e-01  6.7469295372e-03 
1258.503  3.7995307824e-01  6.2049620874e-03 
1264.230  3.7082632132e-01  5.5922910824e-03 
1269.944  3.6768792980e-01  5.5764473363e-03 
1275.644  3.6935280437e-01  5.8823444547e-03 
