# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.053
 8.8571      0.026         10.940
 8.7857      0.032         13.786
 8.7143      0.038         16.585
 8.6429      0.045         19.329
 8.5714      0.051         22.007
 8.5000      0.057         24.604
 8.4286      0.063         27.098
 8.3571      0.069         29.457
 8.2857      0.075         31.633
 8.2143      0.082         33.537
 8.1429      0.088         34.989
 8.0714      0.094         35.491
 8.0000      0.100         30.961
