# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.228
 8.8571      0.026         10.472
 8.7857      0.032         12.684
 8.7143      0.038         14.856
 8.6429      0.045         16.983
 8.5714      0.051         19.056
 8.5000      0.057         21.061
 8.4286      0.063         22.982
 8.3571      0.069         24.794
 8.2857      0.075         26.454
 8.2143      0.082         27.892
 8.1429      0.088         28.965
 8.0714      0.094         29.283
 8.0000      0.100         26.225
