# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.568
 8.8571      0.026         12.227
 8.7857      0.032         15.838
 8.7143      0.038         19.394
 8.6429      0.045         22.885
 8.5714      0.051         26.297
 8.5000      0.057         29.612
 8.4286      0.063         32.806
 8.3571      0.069         35.839
 8.2857      0.075         38.652
 8.2143      0.082         41.137
 8.1429      0.088         43.072
 8.0714      0.094         43.832
 8.0000      0.100         37.161
