# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.867
 8.8571      0.026         10.208
 8.7857      0.032         12.516
 8.7143      0.038         14.783
 8.6429      0.045         17.005
 8.5714      0.051         19.170
 8.5000      0.057         21.267
 8.4286      0.063         23.277
 8.3571      0.069         25.175
 8.2857      0.075         26.919
 8.2143      0.082         28.434
 8.1429      0.088         29.572
 8.0714      0.094         29.928
 8.0000      0.100         26.569
