# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.969
 8.8571      0.026          9.439
 8.7857      0.032         10.885
 8.7143      0.038         12.302
 8.6429      0.045         13.687
 8.5714      0.051         15.033
 8.5000      0.057         16.330
 8.4286      0.063         17.567
 8.3571      0.069         18.725
 8.2857      0.075         19.778
 8.2143      0.082         20.676
 8.1429      0.088         21.325
 8.0714      0.094         21.488
 8.0000      0.100         20.010
