# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.799
 8.8571      0.026          9.841
 8.7857      0.032         11.851
 8.7143      0.038         13.824
 8.6429      0.045         15.753
 8.5714      0.051         17.630
 8.5000      0.057         19.444
 8.4286      0.063         21.178
 8.3571      0.069         22.808
 8.2857      0.075         24.297
 8.2143      0.082         25.581
 8.1429      0.088         26.529
 8.0714      0.094         26.805
 8.0000      0.100         24.438
