# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.045
 8.8571      0.026         12.123
 8.7857      0.032         16.153
 8.7143      0.038         20.125
 8.6429      0.045         24.031
 8.5714      0.051         27.857
 8.5000      0.057         31.582
 8.4286      0.063         35.182
 8.3571      0.069         38.616
 8.2857      0.075         41.820
 8.2143      0.082         44.682
 8.1429      0.088         46.963
 8.0714      0.094         47.987
 8.0000      0.100         39.362
