# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.264
 8.8571      0.026         11.872
 8.7857      0.032         15.434
 8.7143      0.038         18.941
 8.6429      0.045         22.384
 8.5714      0.051         25.749
 8.5000      0.057         29.019
 8.4286      0.063         32.169
 8.3571      0.069         35.161
 8.2857      0.075         37.936
 8.2143      0.082         40.389
 8.1429      0.088         42.300
 8.0714      0.094         43.056
 8.0000      0.100         36.468
