# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.010
 8.8571      0.026         10.647
 8.7857      0.032         13.248
 8.7143      0.038         15.807
 8.6429      0.045         18.315
 8.5714      0.051         20.763
 8.5000      0.057         23.138
 8.4286      0.063         25.419
 8.3571      0.069         27.578
 8.2857      0.075         29.569
 8.2143      0.082         31.311
 8.1429      0.088         32.638
 8.0714      0.094         33.088
 8.0000      0.100         28.836
