# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.081
 8.8571      0.026         12.587
 8.7857      0.032         15.051
 8.7143      0.038         17.467
 8.6429      0.045         19.827
 8.5714      0.051         22.119
 8.5000      0.057         24.330
 8.4286      0.063         26.439
 8.3571      0.069         28.417
 8.2857      0.075         30.217
 8.2143      0.082         31.762
 8.1429      0.088         32.900
 8.0714      0.094         33.247
 8.0000      0.100         30.926
