# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.816
 8.8571      0.026         12.664
 8.7857      0.032         16.460
 8.7143      0.038         20.196
 8.6429      0.045         23.860
 8.5714      0.051         27.439
 8.5000      0.057         30.913
 8.4286      0.063         34.255
 8.3571      0.069         37.424
 8.2857      0.075         40.355
 8.2143      0.082         42.935
 8.1429      0.088         44.929
 8.0714      0.094         45.686
 8.0000      0.100         39.216
