# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.836
 8.8571      0.026         12.595
 8.7857      0.032         16.307
 8.7143      0.038         19.965
 8.6429      0.045         23.559
 8.5714      0.051         27.075
 8.5000      0.057         30.495
 8.4286      0.063         33.794
 8.3571      0.069         36.934
 8.2857      0.075         39.854
 8.2143      0.082         42.445
 8.1429      0.088         44.481
 8.0714      0.094         45.321
 8.0000      0.100         37.908
