# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.526
 8.8571      0.026         11.953
 8.7857      0.032         15.334
 8.7143      0.038         18.662
 8.6429      0.045         21.928
 8.5714      0.051         25.119
 8.5000      0.057         28.217
 8.4286      0.063         31.199
 8.3571      0.069         34.028
 8.2857      0.075         36.647
 8.2143      0.082         38.954
 8.1429      0.088         40.739
 8.0714      0.094         41.412
 8.0000      0.100         35.419
