# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.670
 8.8571      0.026         12.236
 8.7857      0.032         15.757
 8.7143      0.038         19.226
 8.6429      0.045         22.633
 8.5714      0.051         25.967
 8.5000      0.057         29.209
 8.4286      0.063         32.335
 8.3571      0.069         35.309
 8.2857      0.075         38.073
 8.2143      0.082         40.523
 8.1429      0.088         42.444
 8.0714      0.094         43.223
 8.0000      0.100         36.274
