# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.874
 8.8571      0.026         10.095
 8.7857      0.032         12.283
 8.7143      0.038         14.433
 8.6429      0.045         16.538
 8.5714      0.051         18.591
 8.5000      0.057         20.577
 8.4286      0.063         22.481
 8.3571      0.069         24.276
 8.2857      0.075         25.924
 8.2143      0.082         27.354
 8.1429      0.088         28.423
 8.0714      0.094         28.747
 8.0000      0.100         25.642
