# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.299
 8.8571      0.026          9.977
 8.7857      0.032         11.630
 8.7143      0.038         13.253
 8.6429      0.045         14.841
 8.5714      0.051         16.387
 8.5000      0.057         17.881
 8.4286      0.063         19.311
 8.3571      0.069         20.656
 8.2857      0.075         21.884
 8.2143      0.082         22.940
 8.1429      0.088         23.714
 8.0714      0.094         23.909
 8.0000      0.100         21.734
