# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.794
 8.8571      0.026          9.792
 8.7857      0.032         11.759
 8.7143      0.038         13.692
 8.6429      0.045         15.582
 8.5714      0.051         17.423
 8.5000      0.057         19.203
 8.4286      0.063         20.905
 8.3571      0.069         22.508
 8.2857      0.075         23.974
 8.2143      0.082         25.240
 8.1429      0.088         26.177
 8.0714      0.094         26.445
 8.0000      0.100         23.924
