# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.005
 8.8571      0.026         10.913
 8.7857      0.032         13.781
 8.7143      0.038         16.603
 8.6429      0.045         19.372
 8.5714      0.051         22.076
 8.5000      0.057         24.700
 8.4286      0.063         27.224
 8.3571      0.069         29.616
 8.2857      0.075         31.826
 8.2143      0.082         33.768
 8.1429      0.088         35.259
 8.0714      0.094         35.795
 8.0000      0.100         30.873
