# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.106
 8.8571      0.026         11.348
 8.7857      0.032         14.547
 8.7143      0.038         17.695
 8.6429      0.045         20.784
 8.5714      0.051         23.800
 8.5000      0.057         26.729
 8.4286      0.063         29.546
 8.3571      0.069         32.218
 8.2857      0.075         34.689
 8.2143      0.082         36.863
 8.1429      0.088         38.541
 8.0714      0.094         39.165
 8.0000      0.100         33.625
