# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.109
 8.8571      0.026         11.056
 8.7857      0.032         13.965
 8.7143      0.038         16.829
 8.6429      0.045         19.641
 8.5714      0.051         22.390
 8.5000      0.057         25.060
 8.4286      0.063         27.633
 8.3571      0.069         30.076
 8.2857      0.075         32.340
 8.2143      0.082         34.337
 8.1429      0.088         35.886
 8.0714      0.094         36.472
 8.0000      0.100         31.038
