# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.042
 8.8571      0.026          9.376
 8.7857      0.032         10.687
 8.7143      0.038         11.971
 8.6429      0.045         13.224
 8.5714      0.051         14.439
 8.5000      0.057         15.609
 8.4286      0.063         16.721
 8.3571      0.069         17.760
 8.2857      0.075         18.701
 8.2143      0.082         19.500
 8.1429      0.088         20.076
 8.0714      0.094         20.233
 8.0000      0.100         19.167
