# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.877
 8.8571      0.026         10.246
 8.7857      0.032         12.580
 8.7143      0.038         14.876
 8.6429      0.045         17.125
 8.5714      0.051         19.319
 8.5000      0.057         21.444
 8.4286      0.063         23.483
 8.3571      0.069         25.410
 8.2857      0.075         27.182
 8.2143      0.082         28.725
 8.1429      0.088         29.889
 8.0714      0.094         30.259
 8.0000      0.100         26.703
