# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.276
 8.8571      0.026         10.531
 8.7857      0.032         12.752
 8.7143      0.038         14.935
 8.6429      0.045         17.071
 8.5714      0.051         19.153
 8.5000      0.057         21.168
 8.4286      0.063         23.098
 8.3571      0.069         24.917
 8.2857      0.075         26.585
 8.2143      0.082         28.030
 8.1429      0.088         29.107
 8.0714      0.094         29.427
 8.0000      0.100         26.352
