# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.638
 8.8571      0.026          9.075
 8.7857      0.032         10.487
 8.7143      0.038         11.872
 8.6429      0.045         13.225
 8.5714      0.051         14.539
 8.5000      0.057         15.807
 8.4286      0.063         17.015
 8.3571      0.069         18.146
 8.2857      0.075         19.174
 8.2143      0.082         20.051
 8.1429      0.088         20.686
 8.0714      0.094         20.848
 8.0000      0.100         19.428
