# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.925
 8.8571      0.026          9.032
 8.7857      0.032         10.117
 8.7143      0.038         11.179
 8.6429      0.045         12.213
 8.5714      0.051         13.214
 8.5000      0.057         14.176
 8.4286      0.063         15.088
 8.3571      0.069         15.937
 8.2857      0.075         16.703
 8.2143      0.082         17.353
 8.1429      0.088         17.825
 8.0714      0.094         17.984
 8.0000      0.100         17.382
