# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.567
 8.8571      0.026         12.083
 8.7857      0.032         15.554
 8.7143      0.038         18.972
 8.6429      0.045         22.329
 8.5714      0.051         25.610
 8.5000      0.057         28.800
 8.4286      0.063         31.874
 8.3571      0.069         34.795
 8.2857      0.075         37.506
 8.2143      0.082         39.904
 8.1429      0.088         41.774
 8.0714      0.094         42.512
 8.0000      0.100         35.926
