 lambda   Irr_dw            Rad_up 
 630.512  1.3840258880e+00  6.0594127082e-02 
 631.338  1.3769340570e+00  6.0386686117e-02 
 632.164  1.3733739097e+00  6.0324923353e-02 
 632.991  1.3738140873e+00  6.0453134506e-02 
 633.817  1.3744817819e+00  6.0593734478e-02 
 634.643  1.3726666822e+00  6.0605541677e-02 
 635.470  1.3704291789e+00  6.0578493843e-02 
 636.296  1.3717433905e+00  6.0699986413e-02 
 637.122  1.3767402688e+00  6.0980769507e-02 
 637.948  1.3801712807e+00  6.1184756527e-02 
 638.775  1.3772453130e+00  6.1099219892e-02 
 639.601  1.3692694167e+00  6.0784241035e-02 
 640.427  1.3615682247e+00  6.0467802031e-02 
 641.253  1.3576818939e+00  6.0289257513e-02 
 642.079  1.3573990251e+00  6.0225113492e-02 
 642.905  1.3584778434e+00  6.0167073759e-02 
 643.732  1.3584196059e+00  5.9985833439e-02 
 644.558  1.3558862804e+00  5.9588669795e-02 
 645.384  1.3519029454e+00  5.9005476086e-02 
 646.210  1.3494152320e+00  5.8422083423e-02 
 647.036  1.3496985883e+00  5.8021215901e-02 
 647.862  1.3494099622e+00  5.7788321543e-02 
 648.688  1.3443131178e+00  5.7588545184e-02 
 649.514  1.3365669395e+00  5.7429497428e-02 
 650.340  1.3337646044e+00  5.7473923626e-02 
 651.166  1.3384551203e+00  5.7738719426e-02 
 651.992  1.3443179083e+00  5.7995041567e-02 
 652.818  1.3428255818e+00  5.7936862851e-02 
 653.644  1.3273511458e+00  5.7259506984e-02 
 654.470  1.2951676622e+00  5.5820306009e-02 
 655.296  1.2549464424e+00  5.4039213317e-02 
 656.122  1.2283920216e+00  5.2918302664e-02 
 656.948  1.2323913870e+00  5.3201627738e-02 
 657.774  1.2607220038e+00  5.4586661440e-02 
 658.599  1.2924531686e+00  5.6126298711e-02 
 659.425  1.3142021162e+00  5.7222316952e-02 
 660.251  1.3259287383e+00  5.7870859179e-02 
 661.077  1.3318703031e+00  5.8245375833e-02 
 661.903  1.3335896006e+00  5.8393093099e-02 
 662.728  1.3310773632e+00  5.8308719098e-02 
 663.554  1.3261641918e+00  5.8093189533e-02 
 664.380  1.3221015711e+00  5.7914212321e-02 
 665.206  1.3201049637e+00  5.7835352275e-02 
 666.031  1.3187687870e+00  5.7791703765e-02 
 666.857  1.3173345010e+00  5.7745283058e-02 
 667.683  1.3168406948e+00  5.7738086401e-02 
 668.508  1.3171464452e+00  5.7755440575e-02 
 669.334  1.3159296936e+00  5.7686927000e-02 
1182.792  4.3039037651e-01  1.4369776116e-02 
1188.701  4.2575746412e-01  1.4233452640e-02 
1194.595  4.2933066025e-01  1.4534316362e-02 
1200.475  4.1809706664e-01  1.4018120374e-02 
1206.341  4.1779460915e-01  1.4297012873e-02 
1212.193  4.1310583742e-01  1.4099483749e-02 
1218.030  4.1278271988e-01  1.4453544176e-02 
1223.854  4.0828830717e-01  1.4419409997e-02 
1229.663  4.0469828583e-01  1.4581756524e-02 
1235.458  4.0047440717e-01  1.4609940881e-02 
1241.240  3.9529839038e-01  1.4529691552e-02 
1247.008  3.9171764869e-01  1.4374923545e-02 
1252.762  3.8576514466e-01  1.3913693700e-02 
1258.503  3.8002732614e-01  1.3260143061e-02 
1264.230  3.7089439193e-01  1.2444658325e-02 
1269.944  3.6775439100e-01  1.2337556617e-02 
1275.644  3.6942195758e-01  1.2711283477e-02 
1281.331  3.4538119251e-01  1.2091999157e-02 
1287.004  3.6215363546e-01  1.2727377837e-02 
1292.665  3.6022664549e-01  1.2415824904e-02 
1298.312  3.5723713941e-01  1.1949928678e-02 
1503.952  2.3807805035e-01  5.3137835907e-03 
1509.148  2.4960845709e-01  5.9001182270e-03 
1514.333  2.4736513293e-01  6.0402147407e-03 
1519.509  2.4675676225e-01  6.1214271864e-03 
1524.675  2.4463741380e-01  6.2925444718e-03 
1529.831  2.4051868104e-01  6.1938454846e-03 
1534.978  2.4051740756e-01  6.1424987302e-03 
1540.114  2.3657720986e-01  6.2149964535e-03 
1545.242  2.3934213179e-01  6.3686733292e-03 
1550.360  2.3506407808e-01  6.3574847867e-03 
1555.468  2.3041599730e-01  6.2320276681e-03 
1560.567  2.3197188541e-01  6.4409395078e-03 
1565.657  2.2731346157e-01  6.2695563396e-03 
1570.738  2.2345514979e-01  6.1581244876e-03 
1575.809  2.1306342880e-01  5.9804810746e-03 
1580.872  2.2028046992e-01  6.1376917157e-03 
1585.926  2.1818344047e-01  6.2087948194e-03 
1590.971  2.1022303725e-01  6.0752314173e-03 
1596.007  2.1542278480e-01  6.2626116061e-03 
1601.035  2.1162208767e-01  6.1463980323e-03 
1606.054  2.1042689012e-01  6.2728014406e-03 
1611.064  2.0504531374e-01  6.0667980703e-03 
1616.066  2.0524615332e-01  6.0703898919e-03 
1621.060  2.0521676234e-01  6.2225359952e-03 
1626.045  2.0881074421e-01  6.4034576298e-03 
1631.023  2.0699742460e-01  6.3600337332e-03 
1635.992  2.0150052836e-01  6.0372655481e-03 
1640.954  1.9348006911e-01  5.6867819243e-03 
1645.907  1.9668325901e-01  5.9788095799e-03 
1650.852  1.9631285157e-01  5.9889019401e-03 
1655.790  1.9636807717e-01  6.0162968798e-03 
1660.720  1.9576703394e-01  5.9848147702e-03 
1665.643  1.9156587735e-01  5.7118012886e-03 
1670.558  1.8984270715e-01  5.8273479134e-03 
1675.466  1.8619771399e-01  5.9086449335e-03 
1680.366  1.7720075444e-01  5.6521566490e-03 
1685.259  1.8288571587e-01  5.8082623871e-03 
1690.145  1.8246013765e-01  5.7027791621e-03 
1695.024  1.8276103549e-01  5.7327667825e-03 
1699.896  1.7977672888e-01  5.5076656488e-03 
