# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.951
 8.8571      0.026          8.547
 8.7857      0.032         10.118
 8.7143      0.038         11.660
 8.6429      0.045         13.169
 8.5714      0.051         14.637
 8.5000      0.057         16.055
 8.4286      0.063         17.412
 8.3571      0.069         18.688
 8.2857      0.075         19.852
 8.2143      0.082         20.855
 8.1429      0.088         21.592
 8.0714      0.094         21.791
 8.0000      0.100         19.840
